user_registration_id,payment_detail_id,plan_id,start_date,end_date,start_date_key,end_date_key
1,1,2,2024-03-02,,20240302,
2,2,3,2024-03-31,2024-10-06,20240331,20241006.0
3,3,1,2024-12-11,,20241211,
4,4,2,2024-05-15,2024-11-24,20240515,20241124.0
5,5,1,2024-11-01,,20241101,
6,6,3,2024-03-14,,20240314,
7,7,1,2024-07-30,,20240730,
8,8,1,2024-01-11,,20240111,
9,9,2,2024-02-14,2024-12-16,20240214,20241216.0
10,10,1,2024-07-09,,20240709,
11,11,3,2024-11-10,,20241110,
12,12,2,2024-01-27,,20240127,
13,13,3,2024-12-18,,20241218,
14,14,2,2024-06-16,,20240616,
15,15,2,2024-09-07,,20240907,
16,16,2,2024-01-14,,20240114,
17,17,3,2024-09-23,,20240923,
18,18,1,2024-05-18,,20240518,
19,19,2,2024-05-09,,20240509,
20,20,2,2024-07-09,,20240709,
21,21,2,2024-01-09,2024-09-01,20240109,20240901.0
22,22,1,2024-02-21,,20240221,
23,23,3,2024-04-26,,20240426,
24,24,3,2024-01-12,2024-07-30,20240112,20240730.0
25,25,2,2024-07-14,,20240714,
26,26,1,2024-05-29,2024-11-14,20240529,20241114.0
27,27,3,2024-05-08,,20240508,
28,28,2,2024-11-29,,20241129,
29,29,2,2024-06-13,,20240613,
30,30,1,2024-01-25,,20240125,
31,31,1,2024-10-06,2024-12-05,20241006,20241205.0
32,32,3,2024-03-30,,20240330,
33,33,3,2024-06-12,,20240612,
34,34,3,2024-01-14,,20240114,
35,35,3,2024-09-06,,20240906,
36,36,1,2024-12-04,,20241204,
37,37,3,2024-06-20,,20240620,
38,38,2,2024-04-10,,20240410,
39,39,3,2024-01-05,,20240105,
40,40,1,2024-01-14,,20240114,
41,41,1,2024-07-08,,20240708,
42,42,1,2024-08-14,,20240814,
43,43,1,2024-08-02,,20240802,
44,44,1,2024-08-17,,20240817,
45,45,2,2024-01-12,,20240112,
46,46,2,2024-09-23,,20240923,
47,47,3,2024-11-08,,20241108,
48,48,3,2024-07-26,,20240726,
49,49,1,2024-05-31,,20240531,
50,50,2,2024-04-06,,20240406,
51,51,2,2024-07-24,,20240724,
52,52,2,2024-06-19,,20240619,
53,53,2,2024-05-14,,20240514,
54,54,3,2024-03-30,,20240330,
55,55,1,2024-03-29,,20240329,
56,56,1,2024-11-28,,20241128,
57,57,1,2024-06-01,,20240601,
58,58,3,2024-05-28,2024-11-17,20240528,20241117.0
59,59,2,2024-07-05,,20240705,
60,60,1,2024-03-01,,20240301,
61,61,1,2024-06-07,,20240607,
62,62,2,2024-01-31,,20240131,
63,63,2,2024-11-03,,20241103,
64,64,2,2024-02-17,,20240217,
65,65,3,2024-01-07,2024-12-06,20240107,20241206.0
66,66,1,2024-09-19,,20240919,
67,67,3,2024-01-07,,20240107,
68,68,1,2024-09-26,2024-11-04,20240926,20241104.0
69,69,1,2024-05-27,2024-07-03,20240527,20240703.0
70,70,3,2024-09-10,,20240910,
71,71,1,2024-11-26,2024-12-05,20241126,20241205.0
72,72,3,2024-08-04,,20240804,
73,73,3,2024-02-03,,20240203,
74,74,1,2024-11-25,,20241125,
75,75,1,2024-04-21,,20240421,
76,76,2,2024-05-31,,20240531,
77,77,1,2024-07-20,,20240720,
78,78,1,2024-03-12,,20240312,
79,79,1,2024-06-02,2024-09-06,20240602,20240906.0
80,80,3,2024-09-27,2024-10-21,20240927,20241021.0
81,81,3,2024-10-31,,20241031,
82,82,3,2024-11-24,,20241124,
83,83,3,2024-05-29,,20240529,
84,84,2,2024-11-04,,20241104,
85,85,2,2024-01-20,2024-09-09,20240120,20240909.0
86,86,1,2024-08-16,,20240816,
87,87,2,2024-09-01,2024-10-25,20240901,20241025.0
88,88,2,2024-07-22,,20240722,
89,89,1,2024-02-26,,20240226,
90,90,3,2024-08-16,,20240816,
91,91,3,2024-10-31,,20241031,
92,92,2,2024-02-20,,20240220,
93,93,1,2024-01-31,,20240131,
94,94,2,2024-04-03,,20240403,
95,95,2,2024-11-01,,20241101,
96,96,3,2024-02-05,,20240205,
97,97,2,2024-03-29,,20240329,
98,98,3,2024-08-10,,20240810,
99,99,3,2024-03-11,2024-05-27,20240311,20240527.0
100,100,1,2024-03-30,,20240330,
101,101,2,2024-04-21,2024-10-19,20240421,20241019.0
102,102,2,2024-06-04,,20240604,
103,103,3,2024-05-08,,20240508,
104,104,3,2024-08-14,2024-08-25,20240814,20240825.0
105,105,1,2024-12-28,,20241228,
106,106,3,2024-03-02,,20240302,
107,107,2,2024-01-17,,20240117,
108,108,1,2024-10-16,,20241016,
109,109,1,2024-09-07,2024-09-17,20240907,20240917.0
110,110,2,2024-11-30,,20241130,
111,111,2,2024-10-13,,20241013,
112,112,1,2024-06-10,,20240610,
113,113,2,2024-06-04,,20240604,
114,114,2,2024-09-02,,20240902,
115,115,2,2024-02-03,,20240203,
116,116,3,2024-04-22,,20240422,
117,117,3,2024-05-19,,20240519,
118,118,3,2024-02-02,,20240202,
119,119,3,2024-09-14,,20240914,
120,120,1,2024-07-21,,20240721,
121,121,2,2024-04-24,,20240424,
122,122,2,2024-03-30,,20240330,
123,123,1,2024-03-09,,20240309,
124,124,3,2024-01-09,,20240109,
125,125,3,2024-04-08,,20240408,
126,126,1,2024-07-27,,20240727,
127,127,3,2024-11-11,,20241111,
128,128,3,2024-10-29,,20241029,
129,129,3,2024-03-27,2024-11-05,20240327,20241105.0
130,130,1,2024-07-17,,20240717,
131,131,1,2024-06-13,,20240613,
132,132,2,2024-02-25,,20240225,
133,133,2,2024-10-05,,20241005,
134,134,3,2024-01-27,,20240127,
135,135,1,2024-04-02,,20240402,
136,136,1,2024-05-15,,20240515,
137,137,1,2024-05-25,,20240525,
138,138,1,2024-09-24,,20240924,
139,139,2,2024-05-28,,20240528,
140,140,1,2024-08-20,,20240820,
141,141,2,2024-03-20,,20240320,
142,142,2,2024-05-11,,20240511,
143,143,3,2024-03-22,,20240322,
144,144,1,2024-08-28,,20240828,
145,145,2,2024-09-06,,20240906,
146,146,1,2024-07-06,2024-11-19,20240706,20241119.0
147,147,1,2024-08-12,,20240812,
148,148,2,2024-11-13,,20241113,
149,149,1,2024-11-18,2024-12-26,20241118,20241226.0
150,150,1,2024-05-16,2024-07-16,20240516,20240716.0
151,151,1,2024-01-03,,20240103,
152,152,1,2024-02-05,,20240205,
153,153,2,2024-10-24,,20241024,
154,154,3,2024-12-15,,20241215,
155,155,1,2024-12-19,,20241219,
156,156,1,2024-09-14,2024-09-26,20240914,20240926.0
157,157,2,2024-07-15,,20240715,
158,158,3,2024-10-15,,20241015,
159,159,1,2024-06-12,,20240612,
160,160,3,2024-02-21,,20240221,
161,161,1,2024-07-01,,20240701,
162,162,1,2024-04-06,,20240406,
163,163,2,2024-03-16,,20240316,
164,164,3,2024-06-13,,20240613,
165,165,1,2024-02-25,,20240225,
166,166,2,2024-01-27,,20240127,
167,167,2,2024-11-15,,20241115,
168,168,1,2024-07-14,2024-10-14,20240714,20241014.0
169,169,1,2024-04-23,2024-07-20,20240423,20240720.0
170,170,2,2024-10-23,,20241023,
171,171,3,2024-09-18,2024-11-24,20240918,20241124.0
172,172,1,2024-12-27,,20241227,
173,173,1,2024-02-04,,20240204,
174,174,2,2024-12-10,,20241210,
175,175,3,2024-07-07,,20240707,
176,176,2,2024-01-10,,20240110,
177,177,2,2024-03-23,,20240323,
178,178,2,2024-02-18,,20240218,
179,179,2,2024-07-19,2024-07-29,20240719,20240729.0
180,180,2,2024-05-29,,20240529,
181,181,3,2024-10-28,,20241028,
182,182,2,2024-08-18,2024-12-14,20240818,20241214.0
183,183,3,2024-06-11,,20240611,
184,184,3,2024-06-08,,20240608,
185,185,1,2024-12-07,,20241207,
186,186,1,2024-08-02,,20240802,
187,187,1,2024-12-03,,20241203,
188,188,1,2024-02-06,,20240206,
189,189,3,2024-05-10,,20240510,
190,190,1,2024-08-07,,20240807,
191,191,3,2024-10-07,2024-11-29,20241007,20241129.0
192,192,2,2024-11-12,,20241112,
193,193,2,2024-12-06,,20241206,
194,194,1,2024-09-13,2024-09-29,20240913,20240929.0
195,195,1,2024-06-02,,20240602,
196,196,2,2024-02-18,,20240218,
197,197,3,2024-10-08,,20241008,
198,198,3,2024-02-07,,20240207,
199,199,1,2024-05-19,,20240519,
4,200,3,2024-11-24,,20241124,
9,201,3,2024-12-16,,20241216,
31,202,3,2024-12-05,,20241205,
69,203,3,2024-07-03,,20240703,
